01005 meron                A 000395.0
10101 Ahmed                A 000100.0
10102 payroll              D 000000.0
10103 smith                A 000300.0
12345 john                 D 000001.0
12346 heather              A 000500.0
23456 jane                 D 000500.0
34567 willow               D 000000.0
34584 md101                A 000232.0
34585 m4                   A 000101.0
34586 m5                   A 000121.0
34587 m6                   A 012121.0
34588 md9                  A 000019.0
END_OF_FILE
